URL,Título,Capa,Resumo,Autor,ISBN,Editora,Demografia,Lançamento
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-29.aspx?oid=1282192,,,"Naruto Gold - 29
Para resgatar Gaara, Naruto e sua equipe vão atrás do esconderijo da ""Akatsuki""! Entretanto, antes de chegarem lá, Itachi surge no meio do caminho!! Ao mesmo tempo, Kisame aparece para enfrentar a equipe de Gai!! Qual será o destino de Gaara.?
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-30.aspx?oid=1282193,,,"Naruto Gold - 30
Naruto e seus aliados invadem o esconderijo da ""Akatsuki"". Porém, o que encontram é um Gaara à beira da morte! Enfurecido, Naruto cai na provocação de Deidara. Enquanto isso, Sasori impede a passagem de Sakura e Chiyo-baa, que permaneceram na gruta!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-31.aspx?oid=1282476,,,"Naruto Gold - 31
A batalha mortal chega ao fim! Sasori, que transformou o próprio corpo em marionete, ataca Sakura e Chiyo-baa.
A grande luta tem um desfecho surpreendente... E será que um novo sharingan vai encerrar o embate de Deidara contra Naruto e Kakashi?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-32.aspx?oid=1282477,,,"Naruto Gold - 32
Surge a nova Equipe Kakashi! Enquanto Kakashi se recupera, ""Yamato"", do esquadrão ANBU, assume o posto de capitão e Sai, uma ""raiz"" do ANBU, é designado para ocupar a posição de Sasuke. Sua aparente ausência de sentimentos irrita Naruto e Sakura, mas...?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-33.aspx?oid=1282478,,,"Naruto Gold - 33
Naruto e sua equipe se encontram com Kabuto, que deveria ser um espião da ""Akatsuki"", mas o jutsu que o prendia à organização havia sido desfeito por Orochimaru. O plano fracassa, e Orochimaru os provoca mencionando Sasuke. Naruto, deixando-se levar pela fúria, liberta o poder da Kyuubi...?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-34.aspx?oid=1282479,,,"Naruto Gold - 34
É a hora de adentrar a base de Orochimaru! Naruto e seus companheiros se infiltram em território inimigo e pressionam Sai ao reencontrá-lo. A contínua busca de Naruto por Sasuke faz com que Sai questione seus próprios sentimentos. Passados dois anos e meio, finalmente chega a hora da reunião!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-35.aspx?oid=1282480,,,"Naruto Gold - 35
""Nesse caso, você vai ter de superá-lo, certo?"" Kakashi sugere um método de treinamento que surpreende Naruto, que não foi capaz de trazer Sasuke de volta devido à enorme diferença de forças entre os dois. Enquanto isso, uma nova dupla da Akatsuki se aproxima da Vila da Folha...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-36.aspx?oid=1282481,,,"Naruto Gold - 36
A Equipe Dez atual liderada por Asuma enfrenta Hidan dos Akatsuki, provavelmente um dos mais poderosos oponentes já encontrados pelos shinobis da Vila da Folha. E, enquanto Naruto treina para se preparar para o desafio, o terrível plano dos Akatsuki é revelado!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-37.aspx?oid=1282482,,,"Naruto Gold - 37
A batalha contra os Akatsuki deixa uma ferida profunda nos shinobis da Vila da Folha. Mas não é hora de se lamentar, Shikamaru e seus companheiros partem para a vingança enquanto Naruto termina de desenvolver mais um incrível jutsu!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-38.aspx?oid=1282483,,,"Naruto Gold - 38
Naruto enfrenta o terrível Kakuzu com um jutsu que nem mesmo o Quarto Hokage pôde controlar! Enquanto isso, Sasuke entra em uma luta de vida ou morte com Orochimaru, seu antigo mestre!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-gold-Edicao-39.aspx?oid=1282484,,,"Naruto Gold - 39
Sasuke reúne uma equipe para atingir seu objetivo e recruta Jyuugo, o primeiro a usar o selo amaldiçoado, como seu quarto membro. A Vila da Folha e até mesmo a Akatsuki percebem esse movimento e entram em alerta. Enquanto isso, Naruto se junta a um novo grupo para ir atrás de Itachi, o alvo de Sasuke.
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-40.aspx?oid=1282485,,,"Naruto Gold - 40
Explosão é uma arte! Deidara invoca o poderoso C4 Garula e tenta derrotar Sasuke, mas nada escapa do Sharingan! Agora Deidara está acuado e recorrerá a uma técnica ainda mais arriscada!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-edicao-41.aspx?oid=1282194,,,"Naruto Gold - 41
Jiraiya se infiltrou na Vila Oculta da Chuva e agora é caçado por Konan e Pain, o grande comandante da Akatsuki. Mas parece que Jiraya conhece muito bem o misterioso Pain. Qual será a relação entre eles e, afinal, qual é o assustador poder do líder da Akatsuki?
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-42.aspx?oid=1282195,,,"Naruto Gold - 42
Pain, aquele que é chamado de Deus, é na verdade um sexteto de guerreiros detentores do Rinnegan. Jiraiya nota a presença de um antigo discípulo, Yahiko, entre os seis shinobis, mas já é tarde demais. Enquanto isso, um grande confronto de irmãos se inicia entre Sasuke e Itachi!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-43.aspx?oid=1282196,,,"Naruto Gold - 43
Um jutsu que não pode ser evitado! Ameaçado pelo Amaterasu de Itachi, Sasuke parte para o último ataque neste duelo sob forte temporal. Ele tenta lançar um jutsu, será que vai atingir o seu irmão?? Enquanto isso, Naruto e seus amigos são confrontados pela Akatsuki, e agora se unirão para acabar com Tobi!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-44.aspx?oid=1282197,,,"Naruto Gold - 44
Após descobrir o quanto seu irmão o amava, Sasuke decide seguir o próprio caminho.
Ele parte então em busca da bijuu unindo suas forças com os Akatsuki que estão atrás do mesmo objetivo. Enquanto isso, Naruto não pode aceitar a notícia do falecimento de seu mestre...
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-45.aspx?oid=1282456,,,"Naruto Gold - 45
Killer Bee libera a força da bijuu e contra-ataca Sasuke e seus amigos, encurralando-os com seu chakra descomunal. Enquanto Naruto se empenha no seu treinamento de senjutsu, uma ameaça jamais vista aproxima-se da Vila Oculta da Folha.
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-Edicao-46.aspx?oid=1282486,,,"Naruto Gold - 46
A Vila Oculta da Folha se transforma em um campo de batalha após o ataque do sexteto de guerreiros Pain! Na ausência de Naruto, o exército de shinobis se organiza para defender a vila, mas as vítimas do misterioso poder do inimigo só aumentam a cada hora que passa. E agora Kakashi, com o chakra completamente exaurido, enfrentará Tendou!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-47.aspx?oid=1282487,,,"Naruto Gold - 47
Naruto ataca Pain em modo sennin e o encurrala, mas acaba sendo surpreendido pela infindável força do oponente. Agora precisará encontrar uma resposta para vencer Pain, com seu senso de justiça distorcido, e impedir essa corrente de ódio.
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-48.aspx?oid=1282444,,,"Naruto Gold - 48
Naruto derrota o último Pain e finalmente fica cara a cara com Nagato, aquele que está por trás de tudo! Para obter informações, Naruto contém a sua raiva e questiona o adversário sobre o passado. Ao ficar sabendo da corrente de ódio que circunda o mundo dos shinobis, Naruto começa a encontrar as respostas que procurava!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-49.aspx?oid=1282488,,,"Naruto Gold - 49
Raikage convoca os cinco kages para uma reunião com o objetivo de acabar com a Akatsuki. Um a um, os líde-res de cada vila se reúnem no País de Ferro. Ao ver a Vila Oculta da Nuvem tramando o assassinato de Sasu-ke, Naruto tenta negociar diretamente com o Raikage para evitar que a corrente de ódio se propague.
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-50-116918.aspx?oid=1282445,,,"Naruto Gold - 50
Sasuke invade o local da reunião dos cinco Kages e inicia um ataque! Ele usa as técnicas Amaterasu e Susanoo, mas é encurralado pelo grande poder dos cinco líderes. E eis que Madara Uchiha surge e revela um plano aterrorizador para os Kages.!
ver mais...",,,Editora Panini,Shonen,
